experimenter,collector,incubator,shelf,rack,plugcamera,condition,location,staging_date,amendments,comments,recording_time,staging_times,Pupae,mon_pm_mortality_n,mon_removed_eggs_binary,tues_am_mortality_n,tues_am_removed_eggs_binary,tues_pm_mortality_n,tues_removed_pm_eggs_binary,weds_am_mortality_n,weds_am_removed_eggs_binary,weds_pm_mortality_n,weds_pm_removed_eggs_binary,thurs_am_mortality_n,thurs_am_removed_eggs_binary,thurs_pm_mortality_n,thurs_pm_removed_eggs_binary,fri_am_mortality_n,fri_am_removed_eggs_binary,fri_pm_mortality_n,fri_pm_removed_eggs_binary
LK,HS,1,2,1,73,SS25755,,13-14/01/2026,,,Started 11:00,16:00 - 10:30,,,,,,,,,,,,,,,,,,,
LK,HS,1,2,1,74,SS04330,,13-14/01/2026,,,,,,,,,,,,,,,,,,,,,,,
LK,HS,1,2,1,75,49826,,13-14/01/2026,,,,,,,,,,,,,,,,,,,,,,,
LK,HS,1,2,1,76,SS55086,,13-14/01/2026,,High death over the weekend,,,,,,,,,,,,,,,,,,,,,
LK,HS,1,2,1,96,SS03767,,13-14/01/2026,,,,,,,,,,,,,,,,,,,,,,,
LK,HS,1,2,1,78,73947,,13-14/01/2026,,,,,,,,,,,,,,,,,,,,,,,
LK,HS,1,2,1,79,26259,,13-14/01/2026,,,,,,,,,,,,,,,,,,,,,,,
LK,HS,1,2,1,80,854,,13-14/01/2026,,,,,,,,,,,,,,,,,,,,,,,
LK,HS,1,2,1,81,SS04497,,13-14/01/2026,,,,,,,,,,,,,,,,,,,,,,,
LK,HS,1,2,1,82,602572,,13-14/01/2026,,,,,,,,,,,,,,,,,,,,,,,
LK,HS,1,2,1,83,SPLIT-CONTROL-1,,13-14/01/2026,,,,,,,,,,,,,,,,,,,,,,,
LK,HS,1,2,1,84,50377,,13-14/01/2026,,,,,,,,,,,,,,,,,,,,,,,
LK,HS,1,2,1,85,SS27197,,13-14/01/2026,,,,,,,,,,,,,,,,,,,,,,,
LK,HS,1,2,1,86,EMPTY-GAL4-1,,13-14/01/2026,,,,,,,,,,,,,,,,,,,,,,,
LK,HS,1,2,1,87,SS27197,,13-14/01/2026,,,,,,,,,,,,,,,,,,,,,,,
LK,HS,1,2,1,88,SS25232,,13-14/01/2026,,,,,,,,,,,,,,,,,,,,,,,
LK,HS,1,2,1,89,603021,,13-14/01/2026,,,,,,,,,,,,,,,,,,,,,,,
LK,HS,1,2,1,90,602566,,13-14/01/2026,,,,,,,,,,,,,,,,,,,,,,,
LK,HS,1,2,1,91,49766,,13-14/01/2026,,,,,,,,,,,,,,,,,,,,,,,
LK,HS,1,2,1,92,45873,,13-14/01/2026,,,,,,,,,,,,,,,,,,,,,,,
LK,HS,1,2,1,93,604181,,13-14/01/2026,,,,,,,,,,,,,,,,,,,,,,,
LK,HS,1,2,1,94,SS01943,,13-14/01/2026,,,,,,,,,,,,,,,,,,,,,,,
LK,HS,1,2,1,95,604176,,13-14/01/2026,,,,,,,,,,,,,,,,,,,,,,,
VM,HS,2,2,1,217,49828,,13-14/01/2026,,,9:35,16:15-9:05,,,,0,,0,,3,,,,,,,,,,,
