,comment,n,comment_clean
161,Leave more eggs than expected - seems like not very viable; many quite large larva (considering smaller than usual pupae on vial) at the bottom of the vial. Manually added pupae but recording found in RPi,1,not enough pupae
162,"not enough pupae but cool digging pattern, jumpy flies, see RPi folder",1,not enough pupae
163,"this vial had 1 one fly when removing. not enough pupae, digging all the way round the vial and jumpin flies. See RPi folder",1,not enough pupae
164,"incomplete dataset, 709 images only; not enough pupae",1,video issue
165,not enough pupae; erratic jumping flies and interesting digging pattern - see recording in RPi,1,not enough pupae
166,Leave more eggs than expected - seems like not very viable; not enough pupae and many dead in the middle of the vial,1,not enough pupae
167,Leave more eggs than expected - seems like not very viable,1,not enough pupae
168,late because of pi issues,1,general pi issue
169,Leave more eggs than expected - seems like not very viable. Late because of pi issues; not enough pupae,1,not enough pupae
170,Leave more eggs than expected - seems like not very viable; not enough pupae but many large larvae in the food - see RPi folder,1,not enough pupae
171,not enough pupae but interesting digging pattern - see RPi folder,1,not enough pupae
172,"incomplete dataset, 478 images",1,video issue
173,Leave more eggs than expected - seems like not very viable; not pupae recs,1,pupae rec missing
174,camera issue/note dup and not enough pupae?,1,camera issue
175,incomplete dataset - 65 images,1,video issue
176,incomplete dataset - 1455 images,1,video issue
177,incomplete dataset - 199 images; too many pupae,1,video issue
178,incomplete dataset - 21 images,1,video issue
179,incomplete dataset - 41 images,1,video issue
180,incomplete dataset - 5 images; too many pupae,1,video issue
181,"connection timeout, manually marked as having too many pupae",1,connection issue
182,incomplete dataset - 351 images,1,video issue
183,"camera issue; <100, can't count strong phenotype",1,camera issue
184,accidently rebooted 16/01/2025 16:30. Incomplete dataset 297 images,1,general pi issue
185,incomplete dataset - 314 images,1,video issue
186,incomplete dataset - 1000 images; too few pupae,1,video issue
187,"started late because of pi IP mismatch, not enough so added manually",1,general pi issue
188,ssh connection fail,1,ssh issue
189,only 5 images,1,video issue
190,"incomplete dataset, 1 image",1,video issue
191,"incomplete dataset, 360 images",1,video issue
192,"manually added but data lost - not enough pupae. Incomplete dataset, 2 images",1,pupae rec missing
193,"incomplete dataset, 6 images",1,video issue
194,not enough pupae. Incomplete dataset - 55 images,1,video issue
195,not enough pupae. Incomplete dataset - 9 images,1,video issue
196,"ssh timeout, restart did not fix.",1,ssh issue
197,SSH issue. Leave more eggs than expected - seems like not very viable,1,ssh issue
198,"incomplete dataset, 5 images",1,video issue
199,Leave more eggs than expected - seems like not very viable; not enough pupae; twisted wings in flies,1,not enough pupae
200,pupae recs not found,1,pupae rec missing
201,"camera issue, not resolved after killing video processes and rebooting",1,camera issue
202,"not enough pupae but digging all round the vial, see RPi folder",1,not enough pupae
203,"not enough pupae but flies stuck inside food, see RPi folder",1,not enough pupae
204,"when removing vial at the end of the experiment, this vial had flies; not enough pupae - strange digging all round the edge of the vial, see RPi folder",1,not enough pupae
205,"strong phenotype, struggling to fly and jumping rapidly",1,not enough pupae
206,"potential typo on pupae counts, camera issue; not enough pupae",1,general pupae rec error
207,"potential duplicate, typo on pupae recs, perhaps counts wrong",1,pupae rec duplicate
208,memory allocation issue,1,general pi issue
209,"not enough pupae, check RPi folder for video. Incomplete dataset only 874 images",1,not enough pupae
210,can not find pupae count,1,pupae rec missing
211,not use; cannot find pupae rec,1,pupae rec missing
212,not enough pupae. Only 245 images,1,video issue
213,potential typo on pupae recs - not enough pupae,1,not enough pupae
214,not enough pupae; ssh issue,1,ssh issue
