,condition,successful,failed,total_completed,expected_successful,ready,pending,potential_successful,left_to_do
2,854,2,16,18,18,no,6,8,10
3,ss52506,3,3,6,18,no,17,20,-2
5,ss00911,4,8,12,18,no,19,23,-5
6,ss38410,4,2,6,18,no,15,19,-1
7,ss00918,4,14,18,18,no,20,24,-6
8,ss04068,4,14,18,18,no,17,21,-3
9,ss01989,5,1,6,18,no,15,20,-2
10,26259,5,13,18,18,no,16,21,-3
11,ss00740,5,7,12,18,no,19,24,-6
