,condition,successful,failed,total_completed,expected_successful,ready,pending,potential_successful,left_to_do
0,ss25725,0,6,6,18,no,0,0,18
1,604183,4,2,6,18,no,0,4,14
2,19-12-gal4,0,30,30,18,no,4,4,14
3,ss38042,6,0,6,18,no,0,6,12
4,854,2,22,24,18,no,6,8,10
5,603766,6,0,6,18,no,6,12,6
6,49826,1,17,18,18,no,16,17,1
7,49828,8,10,18,18,no,10,18,0
8,ss01401,8,4,12,18,no,11,19,-1
9,ss04330,13,5,18,18,no,6,19,-1
10,ss53257,8,3,11,18,no,11,19,-1
11,ss04230,13,5,18,18,no,6,19,-1
12,ss01645,13,5,18,18,no,6,19,-1
13,602023,9,3,12,18,no,10,19,-1
14,ss38410,4,2,6,18,no,15,19,-1
15,ss42527,8,4,12,18,no,12,20,-2
16,ss00740,10,14,24,18,no,10,20,-2
17,mb196c,14,4,18,18,no,6,20,-2
18,ss52506,3,3,6,18,no,17,20,-2
19,57618,14,4,18,18,no,6,20,-2
20,ss01989,5,1,6,18,no,15,20,-2
21,8769,15,9,24,18,no,5,20,-2
22,ss03731,20,4,24,18,yes,0,20,-2
23,ss00739,6,12,18,18,no,15,21,-3
24,26259,5,13,18,18,no,16,21,-3
25,ss04068,4,14,18,18,no,17,21,-3
26,ss21785,9,3,12,18,no,12,21,-3
27,50377,10,14,24,18,no,11,21,-3
28,ss27197,10,8,18,18,no,11,21,-3
29,ss01378,10,8,18,18,no,11,21,-3
30,ss00674,15,3,18,18,no,6,21,-3
31,ss04047,16,2,18,18,no,5,21,-3
32,ss01632,11,7,18,18,no,11,22,-4
33,ss00911,16,14,30,18,no,6,22,-4
34,73947,11,13,24,18,no,11,22,-4
35,49766,6,18,24,18,no,16,22,-4
36,48877,11,7,18,18,no,11,22,-4
37,45873,7,5,12,18,no,15,22,-4
38,ss01762,5,13,18,18,no,17,22,-4
39,ss04497,16,14,30,18,no,6,22,-4
40,ss01978,16,14,30,18,no,6,22,-4
41,ss01732,11,13,24,18,no,11,22,-4
42,ss01943,11,7,18,18,no,11,22,-4
43,ss00721,16,8,24,18,no,6,22,-4
44,ss00886,3,3,6,18,no,20,23,-5
45,ss25755,12,12,24,18,no,11,23,-5
46,ss03767,13,11,24,18,no,10,23,-5
47,ss00918,4,14,18,18,no,20,24,-6
48,ss25232,13,17,30,18,no,11,24,-6
49,ss55086,8,4,12,18,no,16,24,-6
50,ss52511,9,9,18,18,no,16,25,-7
51,ss00878,14,10,24,18,no,12,26,-8
52,ss01984,15,3,18,18,no,11,26,-8
53,empty-gal4,41,19,60,18,yes,31,72,-54
54,split-control,52,8,60,18,yes,31,83,-65
